date,lastSyncTime,steps,distance,runDistance,calories
2017-05-16,1495052455,3809,2723,129,104
2017-05-17,1495222445,5900,4033,389,139
2017-05-18,1495222444,9813,6536,63,220
2017-05-19,1495295795,6429,4347,64,148
2017-05-20,1495385675,13506,8932,0,290
2017-05-21,1495485248,3544,2346,0,98
2017-05-22,1495555009,5936,4074,193,146
2017-05-23,1495820791,12618,9195,660,310
2017-05-24,1495820792,17604,12798,512,411
2017-05-25,1495820792,10338,7845,241,270
2017-05-26,1495852363,6952,4849,0,164
2017-05-27,1495987247,26122,18349,293,576
2017-05-28,1496034142,20480,14344,154,454
2017-05-29,1496139254,5272,3607,0,124
2017-05-30,1496250952,10354,7448,479,248
2017-05-31,1496294049,10016,6892,137,221
2017-06-01,1496487628,5778,4001,68,141
2017-06-02,1496487629,4579,3057,167,113
2017-06-03,1496830300,10868,7179,126,235
2017-06-04,1496830321,2234,1457,97,62
2017-06-05,1496830284,3674,2514,126,87
2017-06-06,1496830319,11315,8189,423,269
2017-06-07,1497033480,17788,12788,163,399
2017-06-08,1497033481,5459,3672,166,117
2017-06-09,1497121928,8960,6306,100,214
2017-06-10,1497250776,13480,9480,183,297
2017-06-11,1497250775,19051,13334,98,414
2017-06-12,1497634054,11668,8030,52,250
2017-06-13,1497634055,7808,5219,137,160
2017-06-14,1497634055,5347,4064,0,130
2017-06-15,1497634056,14994,10759,887,356
2017-06-16,1497655867,5108,3457,24,128
2017-06-17,1497776410,17437,11516,164,377
2017-06-18,1497851617,2160,1396,0,60
2017-06-19,1498084492,4657,3314,167,120
2017-06-20,1498084494,4862,3521,342,128
2017-06-21,1498084494,2770,1950,253,75
2017-06-22,1498241339,5164,3535,378,124
2017-06-23,1498252867,5071,3503,297,118
2017-06-24,1498368910,26745,19494,1056,675
2017-06-25,1498490520,14538,10176,740,341
2017-06-26,1498677002,3858,2685,334,98
2017-06-27,1498677001,4713,3361,188,120
2017-06-28,1498880894,5496,3803,311,136
2017-06-29,1498880895,6548,4588,466,160
2017-06-30,1498880895,15384,10372,712,338
2017-07-01,1499027909,10228,6684,678,224
2017-07-02,1499030326,10153,7500,351,267
2017-07-03,1499118814,16628,12517,373,427
2017-07-04,1499280308,18676,14266,469,503
2017-07-05,1499317907,4904,3473,390,120
2017-07-06,1499378829,19022,13515,763,442
2017-07-07,1499595022,5025,3681,419,133
2017-07-08,1499595021,10115,7149,584,259
2017-07-09,1499711524,4262,3279,170,128
2017-07-10,1499885304,2402,1680,249,62
2017-07-11,1499885304,811,561,111,22
2017-07-12,1499971278,2538,1777,228,67
2017-07-13,1500145030,4737,3538,493,132
2017-07-14,1500145030,2710,1880,198,76
2017-07-15,1500233320,14709,9665,959,305
2017-07-16,1500241597,10059,7309,167,237
2017-07-17,1500351508,11211,7929,847,269
2017-07-18,1500808621,2695,1901,377,71
2017-07-19,1500808628,4565,3327,187,120
2017-07-20,1500808623,7260,5154,491,183
2017-07-21,1500808624,14818,9725,1040,305
2017-07-22,1500808626,21404,14668,1072,476
2017-07-23,1500921783,7558,5627,252,188
2017-07-24,1501014678,12012,9154,391,331
2017-07-25,1501047964,8734,5786,500,198
2017-07-26,1501103720,4006,2829,430,107
2017-07-27,1501191305,6238,4450,459,163
2017-07-28,1501325935,17688,12093,904,391
2017-07-29,1501364253,37126,26491,500,828
2017-07-30,1501478546,23826,16986,373,543
2017-07-31,1501564900,7119,5077,434,188
2017-08-01,1501652676,4015,2852,356,107
2017-08-02,1501740710,12065,8364,677,278
2017-08-03,1501879105,2553,1806,307,70
2017-08-04,1501964950,14331,10880,491,384
2017-08-05,1502118804,17125,12100,689,409
2017-08-06,1502118803,4690,3568,185,140
2017-08-07,1502187043,2599,1870,180,66
2017-08-08,1502258151,8692,6165,317,202
2017-08-09,1502394166,13583,10250,376,345
2017-08-10,1502509913,17925,12914,438,428
2017-08-11,1502509914,5911,3923,310,131
2017-08-12,1502653102,17040,11521,832,373
2017-08-13,1502659541,10490,7743,192,261
2017-08-14,1502759139,4005,2684,307,91
2017-08-15,1502863628,5645,4047,404,154
2017-08-16,1503123780,6877,4795,620,176
2017-08-17,1503123778,5650,3881,403,129
2017-08-18,1503123778,9389,6172,676,202
2017-08-19,1503260396,15915,11255,392,362
2017-08-20,1503294509,11850,9021,159,304
2017-08-21,1503375422,5985,4309,215,149
2017-08-22,1503440188,18335,12720,1400,428
2017-08-23,1503566149,2866,1988,366,75
2017-08-24,1503866483,8896,6635,145,237
2017-08-25,1503866482,10408,7107,639,232
2017-08-26,1503866480,17635,12489,463,408
2017-08-27,1503920265,2665,1907,141,70
2017-08-28,1504072425,7802,5555,737,198
2017-08-29,1504072424,4885,3268,391,111
2017-08-30,1504128397,3002,2112,346,80
2017-08-31,1504243328,10176,7529,357,272
2017-09-01,1504370649,3166,2212,221,79
2017-09-02,1504409654,18094,13818,235,462
2017-09-03,1504551779,30841,23002,519,793
2017-09-04,1504596719,8752,5842,657,198
2017-09-05,1504707093,3372,2477,256,95
2017-09-06,1504874441,4600,3111,357,110
2017-09-07,1504874439,5834,3930,509,134
2017-09-08,1504928921,9773,7327,431,275
2017-09-09,1505047938,14669,10141,802,334
2017-09-10,1505280550,4788,3462,206,124
2017-09-11,1505280549,4452,2982,441,111
2017-09-12,1505280551,14137,10283,514,352
2017-09-13,1505336736,10044,6828,613,224
2017-09-14,1505423490,4408,2989,405,101
2017-09-15,1505720271,8603,5997,375,197
2017-09-16,1505720274,30522,20886,350,654
2017-09-17,1505720272,19075,13012,304,407
2017-09-18,1506117544,26213,18221,537,578
2017-09-19,1506117551,25523,18991,280,625
2017-09-20,1506117550,34543,24523,289,784
2017-09-21,1506117549,27355,19258,466,607
